,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,accountID,accountCreatedAt,tweetID
10,Emmanue25967322,,,75,22,457,3,"BREAKING: CBN to release re-designed Naira notes December 2022… what do you think?🤔

Ruger kanye Horny of life #MartellBox Rufai cuppy Yeezy Bella shmurda Edafe Emeka Fulani Biko haram inter Milan #Messi𓃵 igbo Rema Laycon machala Twitter NG #Telegram Labour Party Peter obi https://t.co/b5kchxLQ6R",['MartellBox'],2022-01-29 20:53:13+00:00,1487528935093067777,1585275363562819585
11,capikamran,,"Itaewon, Rembau",222,421,50558,2203,Forbes claims Kanye is no longer a billionaire after partnership with Adidas ends 🤯‼️ https://t.co/6HGGYbkser,[],2017-01-27 11:36:40+00:00,824944208943255552,1585275363277406208
12,punch_it_ensign,She/Her. Please look b4 following. if you know me irl I'm sorry and mind your business. Black as Hell 🇲🇽 Not strictly star trek $Laurdy pfpbanner by @mushm0on,,342,140,59435,32,"she really do the whole “what the right hand does, the left hand doesn’t know” with her public image &amp; social media. i find it amazing that this whole thing is about Kanye being rightfully booted for his antisemitism &amp; somehow it’s still all Black ppl fault he alt right 🤨",[],2020-09-19 02:30:18+00:00,1307144829940441088,1585275362996633601
13,realfemsapien,Follower of Christ. ✝️ Act right or get blocked. 😌,,147,2460,2548,0,"@friendswithppl Have you listened to anything Kanye actually said on the matter or did you just read/watch someone recapping it?

I am WELL aware of the holocaust (more than most millenials). I’m also of the aware of the human propensity to commit that same evil against ANY group.",[],2022-04-18 18:14:49+00:00,1516118014785114119,1585275362468139009
14,valeriacervn,no me preguntes xq puse ese tuit,"Chicago, illinois.",352,1111,48869,145,"De hecho, que Kanye auto destruyera su carrera y su legado era lo más Kanye posible.",[],2013-07-13 01:21:25+00:00,1589805384,1585275361599770625
15,humbleguy36,"South Gate High, UCLA, USC, Chapman College, Northop, Engineer, Math/ Computer Teacher, private pilot, Anaheim, Phoenix, proudly not WOKE","Arizona, USA",829,988,44853,282,Kanye West Says Planned Parenthood Was Founded to “Kill the Black Race” https://t.co/9TQbP7VKld https://t.co/rz5wJIfQyh,[],2009-06-21 00:16:51+00:00,49169452,1585275361381654529
16,Statesvegas1,Living the Dream ;),Statesvegas,409,90,19752,15197,I am sure Kanye can still get a fashion deal with My Pillow.,[],2011-09-17 13:37:35+00:00,375085212,1585275360802996225
17,VictoireFerber,🇫🇷🦋,,385,100,2261,20858,"Aftermath of Kanye West’s antisemitic comments:

Adidas cut ties
Balenciaga cut ties
Vogue and Anna Wintour cut ties
Dropped by talent agency, CAA
Dropped by lawyer
Streams, sales &amp; airplay plummeted
Restricted from Instagram &amp; Twitter
Stadium shows cancelled
Documentary shelved https://t.co/D1UiaAG3e9",[],2018-08-28 12:21:20+00:00,1034415634413756416,1585275359276179457
18,kwesielan23,living everyday as it comes by the grace of God,,203,270,17216,746,"“Adidas didn’t cancel Kanye West when he made all his comments on Black people!”

Blacks didn’t unite to boycott him, because y’all wanted to be dripped in Yeezy &amp; y’all wanted to praise him &amp; his Sunday Service church cult. Hell, some of y’all still haven’t canceled R. Kelly..",[],2015-05-30 07:16:52+00:00,3303545740,1585275358328377344
19,champagneajdro,in love w katie🗡🖤 trans dude🏳️‍⚧️ he/him,having sex,182,131,13645,1522,If Spotify removes even a single Kanye West song from streaming because of a comment Ye made but they leave up entire Ben Shapiro and Joe Rogen podcasts then it was never about the content of what Ye said it was about who said it.,[],2019-04-01 17:58:19+00:00,1112776219454373888,1585275358034526208
20,MarkEll56126566,ER doc,"West Virginia, USA",194,34,819,5849,Chicago has officially dropped Kanye as a spokesperson https://t.co/9Dx4OfmZZD,[],2016-08-25 19:47:54+00:00,768897709612920834,1585275357782999042
21,Ronilj261,"ALLY FOR EVERYTHING FOX HATES
I 🚫 ALL: Crypto, Q, MAGA, Bullies, Lies, Bots, & Trolls.
 VOTE OUT ALL REPUBLIKKKANS",Blue dot in Qtah ,7747,7235,442461,491,"A billionaire rapper is paying a price for spewing hate, but a millionaire cable TV host is still getting paid for hate.

If you’re not AS CONCERNED about Carlson as Kanye, you’re discounting the moral price America pays when HATE, #Racism &amp; #Antisemitism IS the BUSINESS MODEL. https://t.co/uLU8F5VJfF",[],2017-05-06 21:49:44+00:00,860974889007685633,1585275357371846658
22,bridgeradio987,Connecting Many Voices,"Asaba, Nigeria",733,1515,28637,0,"Now Playing-""One Time"" by @jtblowofficial cc @iamdjwhizz on #Afternoonjoli w/@ObrikeUfuoma #TheOgbueshiOneOfSports  #TuneIn 2:00pm - 5:00pm

ListenLive on;https://t.co/fYEByrsXfT

#ConnectingManyVoices  #wednesdaythought Kanye https://t.co/moP3WAUST7","['Afternoonjoli', 'TheOgbueshiOneOfSports', 'TuneIn', 'ConnectingManyVoices', 'wednesdaythought']",2016-11-17 12:40:12+00:00,799230658618986496,1585275356784762880
23,edmeyer_able,"I will do all I can to hold treason trump & his seditious cult accountable for #InsurrectionDay 1/6/21 
 I swear a LOT",On the river,3210,4190,216658,1250,"Just a reminder that, two weeks ago, @TuckerCarlson interviewed Kanye, edited out the most explicit anti-semitism, and then told his audience of millions that Kanye was ""not crazy"" and ""worth listening to.""

https://t.co/pPqD9iSUHV",[],2012-03-04 21:37:28+00:00,514793921,1585275356453421059
24,WatchTheThorne,I'm wilding your honor,Atlanta ,803,1034,69589,0,@DirtyGrails Like ok they were behind Nike before Kanye. And they still were with him lol yes he increased revenue greatly but this still a multi billion dollar company we talking about regardless,[],2011-03-12 03:28:22+00:00,264568282,1585275356000358403
25,Thagood_king,,"Bronx, NY",822,723,30309,2552,Kanye a dit que l’esclavage était un choix mais il a attendu qu’il touche aux dragons célestes pour mettre un terme mdrrr c’est chaud https://t.co/logPa43kef,[],2016-07-18 19:23:00+00:00,755120705100972033,1585275355958476803
26,tysalihu,#Law Bro 😀 | #Environment|  #Climate | #Power |Education| Soft Life Advocate ⚖,,2836,9849,272378,556,"Adidas, Balenciaga, etc literally watched as Kanye made a mockery of black people and their sufferings but they drew a line somewhere. Yet a lot of people seem to be overlooking where the line was drew",[],2010-02-09 08:34:32+00:00,112661511,1585275354373128193
27,kathleenmwade,,"San Francisco, CA",3096,961,140375,3468,BREAKING: Streaming service Spotify announces that it will NOT drop racist Trumper Kanye West from its service over his shockingly antisemitic threats because they “did not violate” Spotify’s policies. RT IF YOU THINK THAT SPOTIFY MUST DROP KANYE WEST!,[],2015-11-18 00:20:09+00:00,4273097474,1585275354310004736
28,CatgirlN0ir,"Black 18 yo Trans girl who is not okay ♤ Discord:Lappz #2677 ♡
Catgender ♧ Priv: @Ventppy (literally anyone) ★ Alts: @LappyBappyBoop ◇💗:@SquishyGamerBoy",She/Ze/Nya,261,274,10514,0,@Bubster3020 they're right above new kanye fans,[],2022-09-13 22:55:43+00:00,1569822119785013248,1585275351596417024
29,Morpheus358,,,715,208,3509,42,when u see why Kanye is trending again... https://t.co/RgoftZGPRu,[],2013-11-08 15:14:11+00:00,2182390542,1585275351101427712
30,mbocardov,caí,México,19,4,83,54,no me agüito kanye la esta pasando peor que yo,[],2022-10-02 04:20:44+00:00,1576426879518507009,1585275350266748929
31,DipokoMbody,bla bla bla,,165,103,2333,428,"🚨 Le basketteur Jaylen Brown annonce qu’il met un terme à sa collaboration avec l’agence DONDA Sports de Kanye West. 

""J'ai toujours et je continuerai toujours à m'opposer fermement à tout antisémitisme et discours de haine"" 💭 https://t.co/gax2ZlRWWO",[],2018-10-09 16:19:58+00:00,1049695979224612867,1585275349943947265
32,Nynyalliyah,Climate Advocate || She/They || Janelle Monae is ma baby🥺,Trinidad and Tobago,287,323,28488,901,had kanye just released new body none of this would’ve happened,[],2014-08-14 19:50:22+00:00,2732645678,1585275349432238084
33,BarrowsIii73,"Im back!  After 2 yrs
Medical Discharged USAF Vet!
Happily Married 26+yrs I dont respond to DM out of respect for my wife!  Truth Social ( leroybarrows )",Blanco Texas,931,772,20174,365,"The people outraged and cancelling Kanye are the same people that were SILENT over China enslaving millions to make products sold into the USA.

They were SILENT when businesses and government forced people to take an untested shot or be fired from their jobs.

HYPOCRITES 🤡",[],2022-04-29 21:32:24+00:00,1520153995989458945,1585275349100859394
34,TheCakegurl,Allah over everything 🤍||A practising Muslimah🧕🏻||Heavy on A'lhamdulilah🤲🏻||A Baker🎂🥯||Music lover🎶||ADs and PRs||Business convos only 📩,My Happy Place,4660,15954,41646,328,Kanye West did not go from hero to zero after his antisemitic remarks under 48 hours because of d Illuminati or white supremacy. He got d reaction he never expected because d jews r a united front. And we blacks like defending nonsense and not cancelling whoever insults us,[],2022-01-19 10:19:29+00:00,1483745858822844426,1585275348874403840
35,pierre_ismail,🤑,,130,53,9821,1927,Lil Duval speaks on Kanye West: “y’all bout to see how much of a billionaire ya boy never was soon” https://t.co/Kwh2Zlh0RS,[],2021-01-06 08:12:07+00:00,1346731192754827265,1585275347565744128
